feature,importance
is_app_user,0.08733748018543297
age,0.04901183336262758
kyc_speed_sec,0.048253309912845106
account_age_days,0.04627823762604335
crypto_wit_sum,0.046085326868156716
ip_unique_count,0.04549345550123432
is_high_risk_career,0.03727582520944357
crypto_protocol_diversity,0.036046960499086324
swap_sum,0.02580305304744331
crypto_currency_diversity,0.02256729202940544
crypto_dep_mean,0.02171828668080425
crypto_dep_sum,0.020027968576498845
crypto_wit_mean,0.019529978766986172
ip_max_shared,0.01911804519608944
total_trading_volume,0.019068712427882148
twd_dep_count,0.01873359155251558
crypto_dep_max,0.018347607416517055
is_high_risk_income,0.01826211863641795
crypto_wit_max,0.017812729276417947
large_fast_turnover,0.01771567832908878
twd_dep_std,0.017375146626816912
crypto_wit_ip_ratio,0.016616329059277492
trading_buy_ratio,0.015988799732829864
crypto_dep_count,0.015930120903012438
trading_count,0.015425733450849605
composite_risk_score,0.0148482332481989
ip_total_count,0.014086367339509917
twd_dep_sum,0.013901036165402487
trading_market_order_ratio,0.013528452178143394
twd_dep_mean,0.013481908234903322
twd_dep_max,0.01330254286586953
swap_count,0.012840020996829139
ip_diversity_frequency,0.01253373886606716
night_high_frequency,0.012093525682725677
ip_night_ratio,0.011750377706546885
crypto_external_wit_count,0.011132234082948528
currency_protocol_complexity,0.011055006595598903
trading_mean,0.010058093003501288
fund_stay_sec,0.009752474143514699
crypto_wit_count,0.009617011309571467
trading_sum,0.009336563508364952
trading_max,0.008928728849838403
twd_wit_mean,0.008479051060047434
twd_wit_ip_ratio,0.007942936182984006
quick_kyc_quick_withdraw,0.007827017617944491
age_volume_mismatch,0.007155201541260713
withdraw_velocity,0.006949456542237484
twd_wit_max,0.006889154284401362
crypto_internal_peer_count,0.006790168702467704
twd_withdraw_ratio,0.006316200414201708
twd_wit_sum,0.005693316348005045
twd_wit_count,0.005566233095029997
twd_wit_std,0.004734725827092214
career_income_risk,0.004577440884764681
twd_smurf_flag,0.0029975086747506155
smurf_withdraw_pattern,1.1675990957772899e-05
new_account_high_risk,0.0
risky_career_low_kyc,0.0
has_kyc_level2,0.0
